Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64496,52776,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.8440200091,26388.0,36717.2267198927,52351,425,52776,52776.0,0.0,52776,52776,0,0.0,0.0,0,0,0,0,76,32,37.8960133394,18.9480066697,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,76,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
47932,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,118,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,49277,1,1,40,127,40,40,40.0,0.0,127,127,127.0,0.0,3389.0050124805,40.586886377,49277.0,0.0,49277,49277,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,20,20.2934431885,20.2934431885,40,127,69.0,50.2294734195,2523.0,0,0,0,0,0,0,0,0,1,103.5,40.0,127.0,32,1,40,1,127,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,22238,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,4316.9349761669,89.9361453368,22238.0,0.0,22238,22238,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,44.9680726684,44.9680726684,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50284,118,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,101694.915254237,16949.1525423729,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,8474.5762711864,8474.5762711864,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,1,6,1,6,111,16567,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3788,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3167.8986272439,527.9831045407,3788.0,0.0,3788,3788,3788,3788.0,0.0,3788,3788,0,0.0,0.0,0,0,0,0,40,0,527.9831045407,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1048533,3,4,432,2278,426,0,144.0,244.2375892446,2266,0,569.5,1131.0035366877,2584.5633852249,6.675993984,174755.5,399394.772028253,989511,4,1018470,509235.0,679212.832882301,989511,28959,1019598,339866.0,587844.375572311,1018650,4,0,0,72,92,2.8611402788,3.8148537051,0,2266,338.75,792.6742710597,628332.5,0,0,0,1,0,0,0,0,1,387.1428571429,144.0,569.5,72,3,432,4,2278,8192,237,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6040467,9,6,704,5457,517,0,78.2222222222,169.2769755296,2273,0,909.5,952.1751414525,1019.9542518815,2.4832517088,431461.928571429,1479631.69853995,5570279,3,6040467,755058.375,1946490.36045772,5570279,3,297745,59549.0,83376.1332066917,178847,50,0,0,192,132,1.4899510253,0.9933006835,0,2273,385.0625,702.769043973,493884.329166667,0,0,0,1,0,0,0,0,0,410.7333333333,78.2222222222,909.5,192,9,704,6,5457,8192,119,8,20,470143.0,0.0,470143,470143,5570279.0,0.0,5570279,5570279,BENIGN
56658,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,257,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
62744,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.352941177,117647.058823529,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,58823.5294117647,58823.5294117647,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,1,6,1,6,126,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24435,2,2,62,276,31,31,31.0,0.0,138,138,138.0,0.0,13832.6171475343,163.6996112134,8145.0,14064.2697641932,24385,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,64,40,81.8498056067,81.8498056067,31,138,73.8,58.6063136531,3434.7,0,0,0,0,0,0,0,0,1,92.25,31.0,138.0,64,2,62,2,276,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,100547737,18,16,781,5620,365,0,43.3888888889,96.4530601405,2021,0,351.25,663.9498475036,63.6613034861,0.3381478392,3046901.12121212,4666168.91615848,10086707,0,100547737,5914572.76470588,5086646.21719941,10117490,47,90557885,6037192.33333333,5090516.7227501,10117753,49,0,0,372,440,0.1790194443,0.1591283949,0,2021,182.8857142857,473.0332516249,223760.457142857,0,0,0,1,0,0,0,0,0,188.2647058824,43.3888888889,351.25,372,18,781,16,5620,8192,123,17,20,39402.6,26727.2951002861,115469,30783,10015371.1,35147.452859979,10086707,9958936,BENIGN
53,185,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,908108.108108108,21621.6216216216,61.6666666667,22.8108161479,88,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,40,40,10810.8108108108,10810.8108108108,34,50,40.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,40,2,68,2,100,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54605,483,2,1,37,6,37,0,18.5,26.1629509039,6,6,6.0,0.0,89026.9151138716,6211.1801242236,241.5,132.2289680819,335,148,483,483.0,0.0,483,483,0,0.0,0.0,0,0,1,0,64,20,4140.7867494824,2070.3933747412,0,37,20.0,19.7821468333,391.3333333333,0,1,0,0,1,0,0,0,0,26.6666666667,18.5,6.0,64,2,37,1,6,31,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30577,1,1,54,110,54,54,54.0,0.0,110,110,110.0,0.0,5363.5085194754,65.4086404814,30577.0,0.0,30577,30577,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,32.7043202407,32.7043202407,54,110,72.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,109.0,54.0,110.0,32,1,54,1,110,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
84,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
4449,54,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,111111.1111,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,18518.51852,18518.51852,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
12345,27,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,37037.03704,37037.03704,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
4125,52,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,153846.1538,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,19230.76923,19230.76923,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1984,32,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,187500.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,31250.0,31250.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
34573,4,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,2000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,250000.0,250000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1311,43,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
20222,68,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,117647.0588,29411.76471,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,14705.88235,14705.88235,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
3071,31,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,193548.3871,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,32258.06452,32258.06452,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
65000,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
6699,44,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,181818.1818,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,22727.27273,22727.27273,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
2161,52,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,115384.6154,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,19230.76923,19230.76923,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
32772,70,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,85714.28571,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,14285.71429,14285.71429,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1192,24,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,250000.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,41666.66667,41666.66667,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
515,42,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,190476.1905,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,23809.52381,23809.52381,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
50389,40,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,200000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,25000.0,25000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
3869,49,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,163265.3061,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,20408.16327,20408.16327,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
4321,48,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,125000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,20833.33333,20833.33333,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
1236,37,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,162162.1622,54054.05405,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,27027.02703,27027.02703,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,8098507,7,5,50,11607,20,0,7.142857143,6.094494002,7215,0,2321.4,3327.769794,1439.401114,1.4817546,736227.9091,1863101.343,6075462,4,8016239,1336039.833,2447736.518,6075462,165,83027,20756.75,40847.23003,82025,4,0,0,152,112,0.86435685,0.61739775,0,7215,897.1538462,2250.514898,5064817.308,0,0,0,0,1,0,0,0,0,971.9166667,7.142857143,2321.4,152,7,50,5,11607,256,229,5,20,1940002.0,0.0,1940002,1940002,6075462.0,0.0,6075462,6075462,DDoS
80,170061,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,68404.86649,47.04194377,24294.42857,63938.15585,169292,3,597,298.5,355.6747109,550,47,170013,42503.25,84526.16728,169292,3,0,0,72,112,17.64072891,29.40121486,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,94931,3,5,26,11601,20,0,8.666666667,10.26320288,7215,0,2320.2,2991.555649,122478.4317,84.27173421,13561.57143,31113.1597,83526,4,10989,5494.5,7764.739564,10985,4,94851,23712.75,40207.34665,83526,61,0,0,72,112,31.60190033,52.66983388,0,7215,1291.888889,2441.667076,5961738.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,8324787,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.882956645,0.480492774,2774929.0,4805672.827,8324042,319,8324787,2774929.0,4805672.827,8324042,319,0,0.0,0.0,0,0,0,0,80,0,0.480492774,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,745.0,0.0,745,745,8324042.0,0.0,8324042,8324042,DDoS
80,2039028,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.77031409,1.961719015,679676.0,1176521.503,2038206,251,2039028,679676.0,1176521.503,2038206,251,0,0.0,0.0,0,0,0,0,80,0,1.961719015,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,95902959,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,121.5499513,0.125126483,8718450.818,28500000.0,94800000,78,95900000,13700000.0,35800000.0,94800000,119,35761,11920.33333,19531.38025,34467,188,0,0,172,92,0.083417656,0.041708828,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,8,56,4,11601,256,229,6,20,1080819.0,0.0,1080819,1080819,94800000.0,0.0,94800000,94800000,DDoS
80,83492894,8,7,56,11607,20,0,7.0,5.656854249,4380,0,1658.142857,1942.877285,139.6885345,0.179656008,5963778.143,21900000.0,82200000,1,83400000,11900000.0,31000000.0,82200000,1,92650,15441.66667,36304.57142,89525,18,0,0,172,152,0.095816537,0.08383947,0,4380,729.3125,1491.866872,2225666.763,0,0,0,0,1,0,0,0,0,777.9333333,7.0,1658.142857,172,8,56,7,11607,256,229,6,20,1237999.0,0.0,1237999,1237999,82200000.0,0.0,82200000,82200000,DDoS
80,98977577,8,5,56,11601,20,0,7.0,5.656854249,4380,0,2320.2,2207.341206,117.77415,0.13134288,8248131.417,25000000.0,86900000,3,99000000,14100000.0,32400000.0,86900000,3,29267,7316.75,9853.967606,21264,49,0,0,172,112,0.080826388,0.050516492,0,4380,833.0714286,1679.986285,2822353.918,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,8,56,5,11601,256,229,6,20,6050.0,0.0,6050,6050,49500000.0,52900000.0,86900000,12000000,DDoS
80,32911,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,353286.1353,212.6948437,5485.166667,8507.651883,19665,28,13024,6512.0,8513.565645,12532,492,32846,10948.66667,9894.243899,19665,194,0,0,72,92,91.154933,121.5399107,0,10135,1453.375,3544.652026,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,507873,3,6,26,11601,20,0,8.666666667,10.26320288,2920,0,1933.5,1495.722401,22893.51866,17.72096567,63484.125,165173.7091,471101,49,35970,17985.0,25365.33445,35921,49,507756,101551.2,207162.418,471101,64,0,0,72,132,5.906988558,11.81397712,0,2920,1162.7,1494.366611,2233131.567,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,108308,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,107406.6551,73.86342652,15472.57143,40498.64632,107313,3,807,403.5,502.7529214,759,48,108283,27070.75,53496.00591,107313,3,0,0,72,112,27.69878495,46.16464158,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
